,index,year,round,pick,player,position,school
608,1030,1999,2,54.0,"Levett, Melvin",SG,Cincinnati
609,1031,1999,2,55.0,"Clack, Kris",G,Texas
610,1032,1999,2,56.0,"Young, Tim",C,Stanford
611,1033,1999,2,57.0,"Ginóbili, Manu",SG,Viola Reggio Calabria
612,1034,1999,2,58.0,"Lucas, Eddie",G,Virginia Tech
613,1035,2000,1,1.0,"Martin, Kenyon",PF,Cincinnato (Sr.)
614,1036,2000,1,2.0,"Swift, Stromile",PF/C,LSU
615,1037,2000,1,3.0,"Miles, Darius",SF/PF,East St. Louis HS (Illinois)
616,1038,2000,1,4.0,"Fizer, Marcus",PF/SF,Iowa State
617,1039,2000,1,5.0,"Miller, Mike",SF/SG,Florida
618,1040,2000,1,6.0,"Johnson, DerMarr",SG/SF,Cincinnati
619,1041,2000,1,7.0,"Mihm, Chris",C/PF,Texas
620,1042,2000,1,8.0,"Crawford, Jamal",SG,Michigan
621,1043,2000,1,9.0,"Przybilla, Joel",C,Minnesota
622,1044,2000,1,10.0,"Dooling, Keyon",SG,Missouri
623,1045,2000,1,11.0,Moiso,PF,UCLA
624,1046,2000,1,12.0,"Thomas, Etan",PF/C,Syracuse
625,1047,2000,1,13.0,"Alexander, Courtney",SG,Fresno State
626,1048,2000,1,14.0,"Cleaves, Mateen",PG,Michigan State
627,1049,2000,1,15.0,"Collier, Jason",C,Georgia Tech
628,1050,2000,1,16.0,Turkoglu,SF/PF,Efes Pilsen
629,1051,2000,1,17.0,"Mason, Desmond",SF/SG,Oklahoma State
630,1052,2000,1,18.0,"Richardson, Quentin",SF/SG,DePaul
631,1053,2000,1,19.0,"Magloire, Jamaal",PF/C,Kentucky
632,1054,2000,1,20.0,"Claxton, Speedy",PG,Hofstra
633,1055,2000,1,21.0,"Peterson, Morris",SF/SG,Michigan State
634,1056,2000,1,22.0,"Harvey, Donnell",SF,Florida
635,1057,2000,1,23.0,"Stevenson, DeShawn",SG,Washington Union HS
636,1058,2000,1,24.0,"Bagarić, Dalibor",C,Benston Zagreb
637,1059,2000,1,25.0,"Tsakalidis, Iakovos ""Jake""",C,AEK
